ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Total de puntos,Comentarios del cuestionario,¿En que Ciudad o Municipio resides?,Puntos: ¿En que Ciudad o Municipio resides?,Comentarios: ¿En que Ciudad o Municipio resides?,¿Qué edad tienes?,Puntos: ¿Qué edad tienes?,Comentarios: ¿Qué edad tienes?,Sexo,Puntos: Sexo,Comentarios: Sexo,¿Comparas precios al momento de realizar una compra?,Puntos: ¿Comparas precios al momento de realizar una compra?,Comentarios: ¿Comparas precios al momento de realizar una compra?,¿Cuántas opciones revisas?,Puntos: ¿Cuántas opciones revisas?,Comentarios: ¿Cuántas opciones revisas?,¿Realizas compras por internet y/o plataformas digitales?,Puntos: ¿Realizas compras por internet y/o plataformas digitales?,Comentarios: ¿Realizas compras por internet y/o plataformas digitales?,¿ Cuales son las razones ?,Puntos: ¿ Cuales son las razones ?,Comentarios: ¿ Cuales son las razones ?,Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Puntos: Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Comentarios: Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,Puntos: Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,Comentarios: Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,Puntos: ¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,Comentarios: ¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,¿ A través de que dispositivos realizas las compras por internet?,Puntos: ¿ A través de que dispositivos realizas las compras por internet?,Comentarios: ¿ A través de que dispositivos realizas las compras por internet?
1,5/21/21 16:52:11,5/21/21 16:52:43,anonymous,,,,Barranquilla,,,24,,,,,,Si,,,4 a 8,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
2,5/21/21 16:56:41,5/21/21 16:57:23,anonymous,,,,Barranquilla,,,26,,,,,,Si,,,2 a 4,,,Si,,,,,,Distancia / Tiempo de Domicilio.;Precio.;Calidad;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
3,5/21/21 16:59:56,5/21/21 17:00:59,anonymous,,,,Barranquilla,,,27,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Computador de mesa. ,,
4,5/21/21 17:00:39,5/21/21 17:01:17,anonymous,,,,Barranquilla,,,22,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
5,5/21/21 16:59:49,5/21/21 17:01:23,anonymous,,,,Barranquilla,,,40,,,,,,Si,,,2 a 4,,,Si,,,,,,Distancia / Tiempo de Domicilio.;Calidad;Precio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
6,5/21/21 17:00:12,5/21/21 17:01:51,anonymous,,,,Barranquilla,,,26,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Smartphone.,,
7,5/21/21 17:00:50,5/21/21 17:02:00,anonymous,,,,Barranquilla ,,,45,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
8,5/21/21 17:01:01,5/21/21 17:02:19,anonymous,,,,Barranquilla,,,27,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
9,5/21/21 17:01:09,5/21/21 17:02:33,anonymous,,,,Barranquilla,,,26,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
10,5/21/21 17:01:45,5/21/21 17:02:46,anonymous,,,,Bogota,,,29,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
11,5/21/21 17:02:13,5/21/21 17:03:30,anonymous,,,,Barranquilla,,,27,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Portatil.,,
12,5/21/21 17:01:54,5/21/21 17:03:45,anonymous,,,,Codazzi - Cesar,,,22,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
13,5/21/21 17:01:11,5/21/21 17:03:52,anonymous,,,,Galapa ,,,20,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
14,5/21/21 17:00:48,5/21/21 17:04:24,anonymous,,,,SOLEDAD,,,25,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
15,5/21/21 17:04:07,5/21/21 17:05:06,anonymous,,,,Barranquilla,,,25,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
16,5/21/21 17:04:12,5/21/21 17:05:10,anonymous,,,,Barranquilla,,,25,,,,,,Si,,,4 a 8,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Portatil.,,
18,5/21/21 17:05:18,5/21/21 17:06:41,anonymous,,,,Bogotá ,,,28,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Computador de mesa. ,,
19,5/21/21 17:05:50,5/21/21 17:06:58,anonymous,,,,Barranquilla,,,25,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Computador de mesa. ,,
20,5/21/21 17:06:41,5/21/21 17:07:32,anonymous,,,,Barranquilla,,,20,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
22,5/21/21 17:06:43,5/21/21 17:08:57,anonymous,,,,BARRANQUILLA,,,26,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
23,5/21/21 17:08:06,5/21/21 17:09:23,anonymous,,,,Barranquilla,,,27,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Portatil.,,
24,5/21/21 17:08:56,5/21/21 17:09:43,anonymous,,,,Barranquilla,,,28,,,,,,Si,,,4 a 8,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Computador de mesa. ,,
25,5/21/21 17:09:29,5/21/21 17:10:14,anonymous,,,,Barranquilla,,,23,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Portatil.,,
26,5/21/21 17:08:02,5/21/21 17:10:34,anonymous,,,,Barranquilla,,,24,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
27,5/21/21 17:07:58,5/21/21 17:10:51,anonymous,,,,Barranquilla,,,50,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Distancia / Tiempo de Domicilio.;Calidad;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Smartphone.,,
28,5/21/21 17:10:33,5/21/21 17:11:28,anonymous,,,,Bogotá,,,22,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
29,5/21/21 17:11:36,5/21/21 17:12:43,anonymous,,,,Barranquilla,,,45,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Portatil.,,
30,5/21/21 17:12:09,5/21/21 17:13:34,anonymous,,,,Bogotá ,,,33,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
31,5/21/21 17:11:45,5/21/21 17:13:41,anonymous,,,,Barranquilla ,,,47,,,,,,Si,,,4 a 8,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
32,5/21/21 17:13:00,5/21/21 17:14:08,anonymous,,,,Medellín ,,,25,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Distancia / Tiempo de Domicilio.;Precio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
33,5/21/21 17:13:58,5/21/21 17:15:09,anonymous,,,,Bogotá,,,29,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Distancia / Tiempo de Domicilio.;Precio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
34,5/21/21 17:13:41,5/21/21 17:15:23,anonymous,,,,Santa Marta,,,46,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
35,5/21/21 17:12:33,5/21/21 17:15:27,anonymous,,,,Soledad,,,47,,,,,,Si,,,4 a 8,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Portatil.,,
36,5/21/21 17:14:49,5/21/21 17:15:43,anonymous,,,,Medellín,,,22,,,,,,Si,,,2 a 4,,,Si,,,,,,Distancia / Tiempo de Domicilio.;Precio.;Calidad;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
37,5/21/21 17:14:02,5/21/21 17:16:21,anonymous,,,,Barranquilla ,,,47,,,,,,Si,,,4 a 8,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
38,5/21/21 17:16:12,5/21/21 17:17:23,anonymous,,,,Barranquilla,,,27,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
39,5/21/21 17:16:29,5/21/21 17:17:33,anonymous,,,,Madrid- Cundinamarca,,,31,,,,,,No,,,,,,Si,,,,,,Calidad;Distancia / Tiempo de Domicilio.;Precio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
40,5/21/21 17:16:33,5/21/21 17:17:45,anonymous,,,,Soledad Atlántico,,,20,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
41,5/21/21 17:15:59,5/21/21 17:17:46,anonymous,,,,Riohacha ,,,32,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Distancia / tiempo del domicilio ,,,Smartphone.,,
42,5/21/21 17:17:07,5/21/21 17:17:55,anonymous,,,,Barranquilla,,,26,,,,,,Si,,,8 o más ,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Smartphone.,,
43,5/21/21 17:16:38,5/21/21 17:18:00,anonymous,,,,Malambo,,,25,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
45,5/21/21 17:18:33,5/21/21 17:19:21,anonymous,,,,Soledad,,,21,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
46,5/21/21 17:18:59,5/21/21 17:20:24,anonymous,,,,Baranoa ,,,32,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Portatil.,,
47,5/21/21 17:19:41,5/21/21 17:21:21,anonymous,,,,Yumbo,,,29,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Portatil.,,
48,5/21/21 17:21:25,5/21/21 17:22:36,anonymous,,,,Sahagún ,,,21,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Portatil.,,
50,5/21/21 17:26:03,5/21/21 17:27:38,anonymous,,,,Barranquilla,,,25,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Computador de mesa. ,,
